scenario,scale_gev,log10_scale_gev,gY,g2,g3,lambdaH,C5_norm_gev_inverse,mass_norm_ev,m_light_ev,m_middle_ev,m_heavy_ev
eft_only,174.01554012760514,2.2405880338590656,0.36622578821832336,0.6181183632527039,0.866398543268099,0.22767355953082669,8.740248400770026e-16,0.05298713397359208,0.001041231202029996,0.009054016074931387,0.052197480755628425
eft_only,167.52478840810122,2.224079078073393,0.3661450180019699,0.6182984669525045,0.8674965163607873,0.2283243195893051,8.733920981896421e-16,0.05294877444692998,0.0010404773792867812,0.009047461427354787,0.052159692905303666
eft_only,161.2761406860528,2.2075701222877204,0.3660643012030853,0.6184787281767805,0.8685986743930665,0.22897737238889598,8.727580724246612e-16,0.05291033708610074,0.0010397220271085843,0.009040893480234838,0.052121828380729304
eft_only,155.2605665212092,2.191061166502048,0.36598363776281595,0.6186591471552926,0.8697050440175924,0.22963273190802544,8.72122758370719e-16,0.052871821623669976,0.0010389651402403297,0.00903431218787493,0.05208388691845643
eft_only,149.46937230729182,2.1745522107163753,0.36590302762239907,0.6188397241182706,0.8708156521252732,0.23029041225582061,8.714861515887696e-16,0.052833227790523685,0.001038206713393948,0.009027717504291467,0.052045868253381436
eft_only,143.89418870814154,2.158043254930703,0.36582247072316243,0.6190204592964152,0.8719305258480148,0.23095042767368645,8.708482476118071e-16,0.052794555315852795,0.0010374467412480374,0.009021109383211223,0.05200777211873101
eft_only,138.52695856249431,2.1415342991450306,0.3657419670065241,0.6192013529208993,0.8730496925615056,0.23161279253690556,8.702090419446066e-16,0.05275580392713753,0.0010366852184476142,0.009014487778068639,0.051969598246046536
eft_only,133.3599252399082,2.1250253433593578,0.36566151641399247,0.6193824052233684,0.8741731798880391,0.2322775213562611,8.695685300634641e-16,0.052716973350131514,0.0010359221396037484,0.009007852642003161,0.05193134636516861
eft_only,128.38562143101228,2.1085163875736854,0.3655811188871658,0.6195636164359428,0.8753010156993769,0.23294462877968325,8.689267074159317e-16,0.052678063308845856,0.0010351574992932626,0.009001203927856468,0.051893016204221265
eft_only,123.59685835587642,2.092007431788013,0.36550077436773243,0.6197449867912183,0.8764332281196514,0.2336141295939201,8.682835694205507e-16,0.05263907352553288,0.0010343912920584316,0.008994541588169716,0.05185460748959591
eft_only,118.98671537490812,2.0754984760023403,0.36542048279747014,0.6199265165222675,0.8775698455283083,0.23428603872623222,8.676391114665827e-16,0.052600003720669856,0.0010336235124066419,0.008987865575180769,0.051816119945935386
eft_only,114.5485299872614,2.058989520216668,0.36534024411824634,0.6201082058626416,0.8787108965630914,0.234960371246112,8.669933289137351e-16,0.05256085361294233,0.0010328541548100744,0.00898117584082132,0.05177755329611755
eft_only,110.27588820230224,2.0424805644309956,0.36526005827201763,0.6202900550463707,0.8798564101230678,0.23563714236702824,8.663462170918865e-16,0.05252162291922754,0.001032083213705384,0.008974472336714074,0.051738907261238795
eft_only,106.16261527021788,2.0259716086453228,0.3651799252008298,0.620472064307966,0.8810064153716956,0.23631636744819554,8.656977713008072e-16,0.052482311354577385,0.001031310683493349,0.008967755014169864,0.0517001815605975
eft_only,102.202766758373,2.0094626528596504,0.36509984484681773,0.6206542338824202,0.8821609417399344,0.23699806199636958,8.65047986809878e-16,0.05244291863220144,0.001030536558538538,0.008961023824184709,0.051661375911677104
eft_only,98.39061996051517,1.992953697073978,0.36501981715220494,0.6208365640052099,0.8833200189293987,0.2376822416676682,8.643968588578043e-16,0.052403444463449626,0.0010297608331689963,0.008954278717436839,0.0516224900301291
